# Wordlist

# DATA
ID	DOCULECT	CONCEPT_NAME	CONCEPT	CONCEPTICON_ID	TOKENS	FORM	COGID	ALIGNMENT
209	SK	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
571	Tac	Foot,leg	FOOT OR LEG	2098	t a	e-ta-buce	24	t a
214	Yam	Foot,leg	FOOT OR LEG	2098	t a	taɨ	24	t a
420	Yaw	Foot,leg	FOOT OR LEG	2098	t a	tai	24	t a
#
313	Ama	Hand	HAND	1277	m ɨ	mɨkɨ̃	27	m ɨ
506	Ara	Hand	HAND	1277	m a	emã	27	m a
502	Aro	Hand	HAND	1277	m e	eme	27	m e
503	Cav	Hand	HAND	1277	m e	e-me	27	m e
79	Chak	Hand	HAND	1277	m ɨ	mɨkɨnɨ	27	m ɨ
82	Chan	Hand	HAND	1277	m ɨ	mɨkɨ	27	m ɨ
504	Ese	Hand	HAND	1277	m e	e-me	27	m e
314	HanKax	Hand	HAND	1277	m ɨ	mɨkɨ̃	27	m ɨ
78	Kap	Hand	HAND	1277	m ɨ	mɨkɨn	27	m ɨ
80	Kax	Hand	HAND	1277	m ɨ	mɨkɨlɨ	27	m ɨ
76	Ksh	Hand	HAND	1277	m ɨ	mɨkɨ̃	27	m ɨ
316	Mat	Hand	HAND	1277	m ɨ	mɨkɨn	27	m ɨ
317	MatMay	Hand	HAND	1277	m ɨ	mɨdante	27	m ɨ
315	Maw	Hand	HAND	1277	m ɨ	mɨkɨ	27	m ɨ
75	ProPa	Hand	HAND	1277	m ɨ	mɨ-	27	m ɨ
74	ProPaTa	Hand	HAND	1277	m ɨ	mɨ-	27	m ɨ
498	ProTa	Hand	HAND	1277	m e	me-	27	m e
500	ReyMar	Hand	HAND	1277	m e	emechuja	27	m e
501	Sap	Hand	HAND	1277	m e	eme	27	m e
83	Shar	Hand	HAND	1277	m ɨ	mɨkɨ	27	m ɨ
77	SK	Hand	HAND	1277	m ɨ	mɨkɨ̃	27	m ɨ
499	Tac	Hand	HAND	1277	m e	e-me	27	m e
505	War	Hand	HAND	1277	m e	e-mé	27	m e
81	Yam	Hand	HAND	1277	m ɨ	mɨkɨ̃	27	m ɨ
#
384	Ama	I	I	1209	ɨ	ɨ	28	- ɨ
549	Aro	I	I	1209	e	ema	28	- e
550	Cav	I	I	1209	e	e-ra	28	- e
173	Chak	I	I	1209	ɨ	ɨ	28	- ɨ
551	Ese	I	I	1209	e	ea	28	- e
385	HanKax	I	I	1209	ɨ	ɨ	28	- ɨ
172	Kap	I	I	1209	ʔ ɨ	ʔɨ	28	ʔ ɨ
170	Ksh	I	I	1209	ʔ ɨ	ʔɨ	28	ʔ ɨ
386	Maw	I	I	1209	ɨ	ɨ	28	- ɨ
169	ProPa	I	I	1209	ʔ ɨ	ʔɨ	28	ʔ ɨ
168	ProPaTa	I	I	1209	ʔ ɨ	ʔɨ	28	ʔ ɨ
546	ProTa	I	I	1209	e	e	28	- e
548	ReyMar	I	I	1209	e	e-me	28	- e
171	SK	I	I	1209	ʔ ɨ	ʔɨ	28	ʔ ɨ
547	Tac	I	I	1209	e	e-ma	28	- e
#
340	Ama	Knee	KNEE	1371	r a	rawoxko	30	r a -
119	Kap	Knee	KNEE	1371	r a ∼	rãβoʂo	30	r a ∼
339	Kat	Knee	KNEE	1371	r a	raβɨʂo	30	r a -
121	Kax	Knee	KNEE	1371	tʃ a ∼	tʃãburu	30	tʃ a ∼
117	Ksh	Knee	KNEE	1371	r a ∼	rãβoʂo	30	r a ∼
120	Mar	Knee	KNEE	1371	r a	ravuʃɨ	30	r a -
116	ProPa	Knee	KNEE	1371	r a ∼	rã-	30	r a ∼
115	ProPaTa	Knee	KNEE	1371	d a n	da-n	30	d a n
523	ProTa	Knee	KNEE	1371	d a	da	30	d a -
